Number extraction in freezer,RNAseq sample name,Date,Label,Generation,Species,Parental effects status,Generation the seed was obtained from,Wild/ Domesticated,Variety/population,Accession_number,Seed_origin,Environment
21,A21,07/07/2020,2.0-RSA-CU4-W,2,Raphanus sativus,"""not standardised"" -parents",0,European cultivated (groups with wild),RSA-CU4 (Diabolo),HRIGRU 13094,Netherlands,wheat competition
22,A22,07/07/2020,2.0-BRP-RP3-W,2,Brassica rapa,"""not standardised""",0,European cultivated (groups with wild),ssp. rapa 3,PI662628,Unknown,wheat competition
23,A23,07/07/2020,2.1-RRA-WP5-C,2,Raphanus raphanistrum,"'""standardised""",1,Wild,RRA-WP5,PI 381011,U.S.,control -no competition
24,A24,07/07/2020,2.0-RRA-WP2-W,2,Raphanus raphanistrum,"""not standardised"" -parents",0,Wild,RRA-WP2,HRIGRU 1015,Netherlands,wheat competition
25,A25,07/07/2020,2.1-RRA-WP2-C,2,Raphanus raphanistrum,"'""standardised""",1,Wild,RRA-WP2,HRIGRU 1015,Netherlands,control -no competition
26,A26,07/07/2020,2.1-BRP-CH1-C,2,Brassica rapa,"'""standardised""",1,Asian cultivated,ssp. chinensis 1,PI508409,Korea,control -no competition
27,A27,07/07/2020,2.0-BRP-WP4-W,2,Brassica rapa,"""not standardised"" -parents",0,Wild,WP4,PI649162,Sweden,wheat competition
28,A28,07/07/2020,2.0-RRA-WP4-W,2,Raphanus raphanistrum,"""not standardised""",0,Wild,RRA-WP4,HRIGRU 12605,Italy,wheat competition
29,A29,07/07/2020,2.0-BRP-CH2-W,2,Brassica rapa,"""not standardised"" -parents",0,Asian cultivated,ssp. chinensis 2,PI662679,Japan,wheat competition
31,A31,07/07/2020,2.0-BRP-WP3-C,2,Brassica rapa,"""not standardised"" -parents",0,Wild,WP3,PI227296,Iran,control -no competition
32,A32,07/07/2020,2.1-RCA-WP1-W,2,Raphanus sativus var. caudatus,"'""standardised""",1,Asian cultivated,RCA-WP1 ,HRIGRU 4597 ,Thailand,wheat competition
33,A33,07/07/2020,2.1-BRP-WP7-W,2,Brassica rapa,"'""standardised""",1,Wild,WP7,PI250004,Egypt,wheat competition
34,A34,07/07/2020,2.1-BRP-WP3-C,2,Brassica rapa,"'""standardised""",1,Wild,WP3,PI227296,Iran,control -no competition
35,A35,07/07/2020,2.0-BCR-WP4-W,2,Brassica cretica,"""not standardised""",0,Wild,BCR-WP4,PI662593,Greece,wheat competition
36,A36,07/07/2020,2.1-RCA-WP6-W,2,Raphanus sativus var. caudatus,"'""standardised""",1,Asian cultivated,RCA-WP6,PI 647068,U.S.,wheat competition
37,A37,07/07/2020,2.0-BRP-WP2-C,2,Brassica rapa,"""not standardised""",0,Wild,WP2,PI175608,Turkey,control -no competition
38,A38,07/07/2020,2.0-BMO-WP4-W,2,Brassica montana,"""not standardised""",0,Wild,BMO-WP4,BRA 3047 K 6675,Italy,wheat competition
39,A39,07/07/2020,2.1-RMN-WP1-C,2,Raphanus raphanistrum munra,"'""standardised""",1,Asian cultivated,RMN-WP1,HRIGRU 1047,India,control -no competition
40,A40,07/07/2020,2.0-RCA-WP6-C,2,Raphanus sativus var. caudatus,"""not standardised"" -parents",0,Asian cultivated,RCA-WP6,PI 647068,U.S.,control -no competition
41,A41,09/07/2020,2.0-BCR-WP5-C,2,Brassica cretica,"""not standardised""",0,Wild,BCR-WP5,G30323,Greece,control -no competition
42,A42,09/07/2020,2.1-BRP-RP2-W,2,Brassica rapa,"'""standardised""",1,European cultivated (groups with wild),ssp. rapa2,PI633181,Honduras,wheat competition
43,A43,09/07/2020,2.0-RRA-WP3-W,2,Raphanus raphanistrum,"""not standardised""",0,Wild,RRA-WP3,HRIGRU 6259,Netherlands,wheat competition
44,A44,09/07/2020,2.0-BRP-CH2-C,2,Brassica rapa,"""not standardised"" -parents",0,Asian cultivated,ssp. chinensis 2,PI662679,Japan,
45,A45,09/07/2020,2.1-RRA-WP2-W,2,Raphanus raphanistrum,"'""standardised""",1,Wild,RRA-WP2,HRIGRU 1015,Netherlands,wheat competition
46,A46,09/07/2020,2.0-BCR-WP1-W,2,Brassica cretica,"""not standardised""",0,Wild,BCR-WP1,GRU08:007329,Greece,wheat competition
47,A47,09/07/2020,2.0-RSA-CU3-W,2,Raphanus sativus,"""not standardised""",0,European cultivated (groups with wild),RSA-CU3 (Colibri),HRIGRU 13081,Italy,wheat competition
49,A49,09/07/2020,2.0-BCR-WP3-C,2,Brassica cretica,"""not standardised""",0,Wild,BCR-WP3,PI662588,Greece,control -no competition
50,A50,09/07/2020,2.0-BCR-WP2-W,2,Brassica cretica,"""not standardised""",0,Wild,BCR-WP2,G30658,unknown,wheat competition
51,A51,09/07/2020,2.0-RRA-WP3-C,2,Raphanus raphanistrum,"""not standardised""",0,Wild,RRA-WP3,HRIGRU 6259,Netherlands,control -no competition
52,A52,09/07/2020,2.0-RCA-WP1-C,2,Raphanus sativus var. caudatus,"""not standardised"" -parents",0,Asian cultivated,RCA-WP1 ,HRIGRU 4597 ,Thailand,control -no competition
53,A53,09/07/2020,2.0-BCR-WP1-C,2,Brassica cretica,"""not standardised""",0,Wild,BCR-WP1,GRU08:007329,Greece,control -no competition
54,A54,09/07/2020,2.0-RMN-WP1-W,2,Raphanus raphanistrum munra,"""not standardised"" -parents",0,Asian cultivated,RMN-WP1,HRIGRU 1047,India,wheat competition
